"","track","artist","genre","mode","popularity","tempo","energy","danceability","loudness","speechiness","acousticness","liveness","instrumentalness","valence","duration"
"1","coachella","lovelytheband","Alternative/Reggae",1,54,115.013,0.646,0.563,-6.849,0.0312,0.0664,0.0877,0.000879,0.288,226435
"2","Stay (feat. Micah Martin)","Bear Grillz","Electronic Dance",1,35,133.863,0.759,0.522,-4.404,0.0795,0.00878,0.118,0.000133,0.233,204958
"3","63 Days","Atlas Genius","Alternative/Reggae",0,45,159.987,0.701,0.68,-6.535,0.0991,0.0158,0.135,0,0.778,187880
"4","Hard Work Pays Off","Future","Hip Hop",1,71,140.064,0.482,0.736,-8.242,0.196,0.327,0.229,0,0.608,224507
"5","Sahara Love - Seven Lions Remix","Above & Beyond","Electronic Dance",0,54,144.908,0.659,0.275,-5.631,0.039,0.0418,0.079,4.15e-05,0.149,322893
"6","Stole the Show","Kygo","Electronic Dance",0,74,100.034,0.635,0.64,-7.565,0.226,0.271,0.319,0,0.475,223187
"7","Used To Love (with Dean Lewis)","Martin Garrix","Electronic Dance",1,79,118.97,0.693,0.651,-4.722,0.0375,0.458,0.335,0,0.392,236765
"8","Bum Bum Tam Tam","Future","Hip Hop",1,70,131.99,0.699,0.898,-3.781,0.112,0.336,0.232,8.61e-06,0.64,213989
"9","It's Fucking Dubstep","Bear Grillz","Electronic Dance",1,42,139.946,0.975,0.524,-3.16,0.0406,0.00203,0.133,0.0695,0.386,207429
"10","Silence","Marshmello","Electronic Dance",1,80,141.971,0.761,0.52,-3.093,0.0853,0.256,0.17,4.96e-06,0.286,180823
"11","Female","Keith Urban","Country",0,58,85.019,0.477,0.567,-8.781,0.0331,0.186,0.111,4.86e-05,0.321,195317
"12","The Fighter","Keith Urban","Country",0,63,132.011,0.856,0.681,-5.166,0.0517,0.0224,0.188,0,0.755,184040
"13","Trouble","Cage The Elephant","Alternative/Reggae",1,71,77.861,0.623,0.47,-5.655,0.0302,0.392,0.0992,0.000453,0.298,225973
"14","Project Dreams","Marshmello","Electronic Dance",1,77,160.113,0.828,0.78,-2.235,0.237,0.409,0.104,0,0.786,167898
"15","Congratulations","Post Malone","Pop",1,83,123.146,0.804,0.63,-4.183,0.0363,0.215,0.253,0,0.492,220293
"16","Señorita","Camila Cabello","Pop",0,84,116.967,0.548,0.759,-6.049,0.029,0.0392,0.0828,0,0.749,190800
"17","Here With Me (feat. Nevve)","ARMNHMR","Electronic Dance",1,43,144.933,0.784,0.376,-3.856,0.0406,0.378,0.198,0,0.413,205241
"18","Count Me In","Rebelution","Alternative/Reggae",1,59,92.015,0.661,0.8,-8.291,0.0304,0.0204,0.0687,0.000107,0.59,189613
"19","Love Is My Religion","Ziggy Marley","Alternative/Reggae",1,53,95.541,0.704,0.832,-6.981,0.05,0.194,0.386,0,0.773,223653
"20","That Way - Bonus Track","Lil Uzi Vert","Hip Hop",0,80,130.007,0.599,0.712,-5.368,0.0388,0.0554,0.154,0,0.503,212354
"21","Talk (feat. Disclosure)","Khalid","Pop",1,80,135.984,0.4,0.901,-8.575,0.126,0.051,0.0599,0,0.346,197573
"22","I Got You","Jack Johnson","Alternative/Reggae",1,64,98.067,0.399,0.899,-6.553,0.038,0.607,0.0923,1.52e-05,0.544,179347
"23","Can't Be Alone Tonight","Atlas Genius","Alternative/Reggae",1,44,99.991,0.833,0.559,-4.332,0.0895,0.044,0.349,0,0.443,237027
"24","Busy Man","Billy Ray Cyrus","Country",1,42,163.887,0.568,0.6,-9.867,0.0388,0.106,0.238,0,0.475,197267
"25","To Be So Lonely","Harry Styles","Pop",1,78,104.959,0.436,0.758,-7.269,0.0418,0.618,0.335,1.61e-05,0.605,192080
"26","Easy","Camila Cabello","Pop",0,70,128.073,0.593,0.574,-5.731,0.0463,0.411,0.0966,1.55e-06,0.355,194686
"27","You should be sad","Halsey","Pop",1,91,110.94,0.585,0.591,-6.35,0.0277,0.143,0.109,0,0.324,205473
"28","MEGATRON","Nicki Minaj","Hip Hop",1,73,94.017,0.641,0.893,-3.051,0.272,0.128,0.086,8.06e-05,0.771,190747
"29","Bittersweet & Blue - Above & Beyond Club Mix","Above & Beyond","Electronic Dance",0,52,127.971,0.777,0.54,-6.11,0.0399,0.0107,0.37,0.043,0.103,249375
"30","Beach In Hawaii","Ziggy Marley","Alternative/Reggae",0,60,100.959,0.458,0.807,-9.594,0.0361,0.211,0.0839,9.01e-06,0.874,220413
"31","Boyfriend","RaeLynn","Country",1,48,102.033,0.567,0.701,-4.602,0.0257,0.155,0.0964,0,0.493,150067
"32","Life Is Good (feat. Drake)","Future","Hip Hop",0,94,142.037,0.609,0.676,-5.831,0.481,0.0706,0.152,0,0.508,237735
"33","Part-Time Lover","Dabin","Electronic Dance",1,53,172.685,0.771,0.467,-3.738,0.0668,0.0138,0.0956,0,0.36,219191
